name,state_id
aba north,6445a5414c645a56f6c95a74
aba south,6445a5414c645a56f6c95a74
arochukwu,6445a5414c645a56f6c95a74
bende,6445a5414c645a56f6c95a74
ikwuano,6445a5414c645a56f6c95a74
isiala ngwa north,6445a5414c645a56f6c95a74
isiala ngwa south,6445a5414c645a56f6c95a74
isuikwuato,6445a5414c645a56f6c95a74
obi ngwa,6445a5414c645a56f6c95a74
ohafia,6445a5414c645a56f6c95a74
osisioma,6445a5414c645a56f6c95a74
ugwunagbo,6445a5414c645a56f6c95a74
ukwa east,6445a5414c645a56f6c95a74
ukwa west,6445a5414c645a56f6c95a74
umuahia north,6445a5414c645a56f6c95a74
umuahia south,6445a5414c645a56f6c95a74
umu nneochi,6445a5414c645a56f6c95a74
demsa,6445a5424c645a56f6c95a76
fufure,6445a5424c645a56f6c95a76
ganye,6445a5424c645a56f6c95a76
gayuk,6445a5424c645a56f6c95a76
gombi,6445a5424c645a56f6c95a76
grie,6445a5424c645a56f6c95a76
hong,6445a5424c645a56f6c95a76
jada,6445a5424c645a56f6c95a76
lamurde,6445a5424c645a56f6c95a76
madagali,6445a5424c645a56f6c95a76
maiha,6445a5424c645a56f6c95a76
mayo belwa,6445a5424c645a56f6c95a76
michika,6445a5424c645a56f6c95a76
mubi north,6445a5424c645a56f6c95a76
mubi south,6445a5424c645a56f6c95a76
numan,6445a5424c645a56f6c95a76
shelleng,6445a5424c645a56f6c95a76
song,6445a5424c645a56f6c95a76
toungo,6445a5424c645a56f6c95a76
yola north,6445a5424c645a56f6c95a76
yola south,6445a5424c645a56f6c95a76
abak,6445a5424c645a56f6c95a78
eastern obolo,6445a5424c645a56f6c95a78
eket,6445a5424c645a56f6c95a78
esit eket,6445a5424c645a56f6c95a78
essien udim,6445a5424c645a56f6c95a78
etim ekpo,6445a5424c645a56f6c95a78
etinan,6445a5424c645a56f6c95a78
ibeno,6445a5424c645a56f6c95a78
ibesikpo asutan,6445a5424c645a56f6c95a78
ibiono-ibom,6445a5424c645a56f6c95a78
ika,6445a5424c645a56f6c95a78
ikono,6445a5424c645a56f6c95a78
ikot abasi,6445a5424c645a56f6c95a78
